MIN;AVG;MAX
18;61;160
39;62;110
42;61;95
44;61;151
49;61;73
36;62;124
49;61;104
52;60;72
47;61;92
49;60;70
42;61;116
53;60;74
42;61;121
51;60;72
43;61;88
27;62;120
41;61;82
50;60;75
51;60;75
42;61;81
41;61;99
49;60;72
51;60;70
53;60;70
50;60;71
51;60;73
54;60;70
49;60;75
53;60;70
51;60;71
51;60;69
45;60;80
47;61;108
47;60;81
50;60;92
49;60;83
51;60;71
51;60;72
52;60;71
56;60;69
52;60;74
53;60;70
51;60;73
45;60;81
47;60;78
29;63;106
43;62;105
47;61;80
52;60;71
50;60;69
40;61;107
52;60;70
53;60;70
51;60;73
46;61;89
52;60;70
52;60;69
52;60;75
45;60;83
52;60;70
51;60;70
54;60;68
51;61;69
43;60;75
36;61;86
52;60;72
33;60;95
48;62;119
46;61;88
47;61;78
44;61;112
44;61;90
47;61;80
